"reviewer","time","brewery","name","style","abv","aroma","appearance","palate","taste","overall","total","average"
"jlpayne",2010-12-10 18:39:18,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,3,4,4,4,4,19,3.8
"akorsak",2010-12-10 20:16:57,"Troegs Brewing Company","Scratch Beer 38 - 2010 (IPA #2 Of 4)","American IPA",7.7,4,4,4,4,4,20,4
"superspak",2010-12-11 23:09:42,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4,4.5,4,21.5,4.3
"Jimmys",2010-12-12 18:01:45,"Yards Brewing Company","Brawler Pugilist Style Ale","English Dark Mild Ale",4.2,3,3,4,4,4.5,18.5,3.7
"aranheaney",2010-12-12 20:16:02,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4,4.5,4.5,21.5,4.3
"KickInTheChalice",2010-12-12 20:45:23,"Troegs Brewing Company","Scratch Beer 29 - 2010 (NBPA)","Belgian IPA",7.7,4.5,4,4,4.5,4.5,21.5,4.3
"superspak",2010-12-13 23:22:53,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3.5,4,3,4,3.5,18,3.6
"oglmcdgl",2010-12-14 15:03:04,"Yards Brewing Company","Barrel Aged Olde Bartholomew","American Barleywine",9,4,4,4,4,4,20,4
"msemich",2010-12-20 17:15:37,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4.5,4.5,4.5,4.5,4,22,4.4
"GilGarp",2010-12-20 21:27:05,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,4,4,4,19.5,3.9
"weeare138",2010-12-29 15:58:03,"Victory Brewing Company","Sticke'y Monkey","Tripel",9.5,4.5,3.5,4,4,3.5,19.5,3.9
"haazer",2010-12-29 19:31:17,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,5,3.5,3.5,4.5,4.5,21,4.2
"Chincino",2010-12-30 22:19:05,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,3.5,4,4,19,3.8
"Gobzilla",2011-01-02 01:50:00,"Troegs Brewing Company","Scratch Beer 38 - 2010 (IPA #2 Of 4)","American IPA",7.7,4,4,4,4.5,4,20.5,4.1
"pvsob",2011-01-02 15:45:52,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4.5,3.5,4,3.5,3.5,19,3.8
"TexIndy",2011-01-02 21:36:31,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4,3.5,4,4,4,19.5,3.9
"ShogoKawada",2011-01-03 18:58:30,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,5,4.5,4.5,22,4.4
"scottyshades",2011-01-05 16:49:04,"Victory Brewing Company","Victory ESB","Extra Special / Strong Bitter (ESB)",6.25,4,4,4,4,4,20,4
"domtronzero",2011-01-06 23:01:21,"Troegs Brewing Company","Splinter Black","American Double / Imperial Stout",11,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"engagechad",2011-01-07 12:03:52,"Victory Brewing Company","Saison Du BUFF","Saison / Farmhouse Ale",6.8,3.5,3.5,3,3,3,16,3.2
"DCon",2011-01-07 18:54:58,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,3.5,4,4,18.5,3.7
"Bmoyer0301",2011-01-09 08:36:58,"Troegs Brewing Company","Scratch Beer 40 - 2010 (IPA #4 Of 4)","American IPA",8.1,4.5,4,4,4.5,4,21,4.2
"corby112",2011-01-09 17:27:35,"Victory Brewing Company","Dark Intrigue","Russian Imperial Stout",9.1,4.5,4.5,4,4,4,21,4.2
"gford217",2011-01-09 17:46:02,"Troegs Brewing Company","Scratch Beer 36 - Bruce Wit","Witbier",5.5,4.5,3.5,3.5,4,4,19.5,3.9
"kwjd",2011-01-09 22:38:59,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4.5,4,4,4,4,20.5,4.1
"Beerbluesbiology",2011-01-10 01:44:28,"Victory Brewing Company","Uncle Teddy's Bitter","English Bitter",4,4.5,4,4.5,4.5,4,21.5,4.3
"SamN",2011-01-10 17:26:23,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,3,4,4,20,4
"plfahey",2011-01-10 19:30:48,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4,4,4.5,3.5,20,4
"TCgoalie",2011-01-10 22:43:16,"Victory Brewing Company","Dark Intrigue","Russian Imperial Stout",9.1,4.5,4,3.5,4,4,20,4
"bushbeer75",2011-01-12 14:48:00,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4.5,4,4,4,20.5,4.1
"wvsabbath",2011-01-13 03:44:17,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4.5,4.5,4.5,21.5,4.3
"smcolw",2011-01-13 17:57:28,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,3.5,3,2,2.5,13,2.6
"womencantsail",2011-01-13 20:34:55,"Victory Brewing Company","Dark Intrigue","Russian Imperial Stout",9.1,2.5,4,3.5,2.5,1.5,14,2.8
"prdstmnky",2011-01-13 21:54:09,"Troegs Brewing Company","Scratch Beer 40 - 2010 (IPA #4 Of 4)","American IPA",8.1,3.5,4,3.5,3.5,3.5,18,3.6
"krisandajt",2011-01-14 17:11:39,"Troegs Brewing Company","Scratch Beer 37 - 2010 (IPA #1 Of 4)","American IPA",7.7,3,3.5,3.5,3.5,3.5,17,3.4
"krisandajt",2011-01-14 19:31:44,"Troegs Brewing Company","Scratch Beer 39 - 2010 (IPA #3 Of 4)","American IPA",7.7,4,4,4,4,4.5,20.5,4.1
"johnmichaelsen",2011-01-15 11:02:28,"Troegs Brewing Company","Scratch Beer 40 - 2010 (IPA #4 Of 4)","American IPA",8.1,4,4.5,4,4,4,20.5,4.1
"HotHands",2011-01-17 20:49:45,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3,3.5,3.5,4,17,3.4
"mdaschaf",2011-01-18 21:58:56,"Troegs Brewing Company","Scratch Beer 38 - 2010 (IPA #2 Of 4)","American IPA",7.7,4,4,4,4,4,20,4
"Jimmys",2011-01-18 22:29:47,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3,4,4,4,19,3.8
"scootny",2011-01-20 21:06:09,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4,4.5,4.5,21.5,4.3
"JM03",2011-01-21 11:36:41,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3.5,4,3.5,4,4,19,3.8
"pburland23",2011-01-21 19:11:01,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4.5,4.5,21.5,4.3
"Buddha22",2011-01-21 21:32:15,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4,4,4.5,20.5,4.1
"micromaniac129",2011-01-22 17:40:50,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"gskitt",2011-01-23 13:16:48,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4.5,4,4,20.5,4.1
"orangesol",2011-01-23 19:41:14,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4,4,4,4.5,4,20.5,4.1
"bastardface",2011-01-24 17:15:43,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,3,3.5,3.5,4.5,17.5,3.5
"Satchboogie",2011-01-24 23:28:57,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4,3,3,3,17,3.4
"gkunkle",2011-01-25 17:52:29,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,4,3,4,4,19,3.8
"larryi86",2011-01-26 15:08:13,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4,5,21,4.2
"weizenbob",2011-01-26 18:49:23,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,4,4.5,3.5,3.5,3.5,19,3.8
"mdfb79",2011-01-28 20:08:31,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,3.5,3.5,4.5,3.5,4.5,19.5,3.9
"afksports",2011-01-28 22:21:46,"Troegs Brewing Company","Scratch Beer 33 - 2010 (Saison De Mueze)","Saison / Farmhouse Ale",6,4,4.5,4,4,3.5,20,4
"JayS2629",2011-01-29 01:28:15,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,4.5,4,3.5,3.5,4,19.5,3.9
"goatgoat",2011-01-29 16:12:10,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3.5,4.5,4,3.5,3.5,19,3.8
"EStreet20",2011-01-29 23:49:27,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3,3,3.5,3.5,16,3.2
"AleWatcher",2011-01-30 16:43:52,"Troegs Brewing Company","Scratch Beer 40 - 2010 (IPA #4 Of 4)","American IPA",8.1,3,2,2.5,3,3,13.5,2.7
"hwy61mb",2011-01-31 21:39:18,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,4,3.5,4,3,18,3.6
"gabedivision",2011-01-31 21:51:41,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4,4,3.5,3.5,3,18,3.6
"wcudwight",2011-01-31 22:06:47,"Yuengling Brewery","Yuengling Light Lager","Light Lager",3.4,3,3.5,3,3,3,15.5,3.1
"AleWatcher",2011-02-01 19:41:09,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3.5,3,4,3,4,17.5,3.5
"Wisconsuds",2011-02-01 20:44:43,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,4.5,3.5,3.5,4,4,19.5,3.9
"silver0rlead",2011-02-01 23:18:51,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4,4.5,4,4.5,21,4.2
"haazer",2011-02-02 01:00:10,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4,4.5,4.5,4.5,22.5,4.5
"jmdrpi",2011-02-02 23:19:07,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3,3.5,3,16.5,3.3
"CharmCityCrab",2011-02-03 00:39:54,"Yuengling Brewery","Yuengling Bock","Bock",5.1,4,3.5,4,4,4,19.5,3.9
"yeahnatenelson",2011-02-03 22:39:29,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,3.5,4,4,20,4
"VMWhelan",2011-02-03 23:25:55,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,4,3,4.5,5,3.5,20,4
"rowingbrewer",2011-02-04 17:01:59,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4,5,5,23,4.6
"mightyheadbrew",2011-02-05 14:19:17,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4,4,4,4.5,4.5,21,4.2
"samyoung",2011-02-05 18:20:05,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,4,4.5,4,20,4
"jrallen34",2011-02-06 18:02:07,"Troegs Brewing Company","Scratch Beer 36 - Bruce Wit","Witbier",5.5,3.5,2.5,2.5,3,4,15.5,3.1
"ColdPoncho",2011-02-06 23:22:42,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,4.5,4,5,22,4.4
"MrWinky",2011-02-07 20:28:56,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4,4.5,21,4.2
"heebes",2011-02-09 12:48:46,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4,4,20.5,4.1
"ThreeDimesDown",2011-02-09 18:19:20,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,4,4,4.5,4.5,4.5,21.5,4.3
"travelfrog",2011-02-09 19:38:24,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4.5,4,4,3.5,20.5,4.1
"Jimmys",2011-02-09 21:46:40,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3,3.5,3,3.5,4,17,3.4
"mvanaskie13",2011-02-10 19:34:19,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,3.5,4.5,4,3.5,19,3.8
"smakawhat",2011-02-10 20:11:05,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,3.5,4,4,19.5,3.9
"FeDUBBELFIST",2011-02-10 20:42:11,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3,4,3.5,3,3,16.5,3.3
"Urbancaver",2011-02-10 20:48:39,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3,4.5,4,3,3.5,18,3.6
"seand",2011-02-11 00:09:08,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,5,3.5,4,4.5,4,21,4.2
"confer",2011-02-11 20:49:09,"Victory Brewing Company","Yakima Glory","American Black Ale",8.7,3.5,4,4,3.5,3.5,18.5,3.7
"beerprovedwright",2011-02-12 13:46:15,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,2.5,3,3,2.5,2.5,13.5,2.7
"Fish113d",2011-02-12 21:14:56,"Troegs Brewing Company","Splinter Black","American Double / Imperial Stout",11,3.5,5,4,4,4,20.5,4.1
"jpmclaug",2011-02-13 17:47:00,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3.5,4,4,4,4.5,20,4
"orangesol",2011-02-14 00:57:42,"Troegs Brewing Company","Scratch Beer 41 - 2011 (Cacaoabunga Redux)","American Stout",6.6,4.5,4,4,4,4,20.5,4.1
"Dan3279",2011-02-14 15:14:23,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4.5,4.5,4.5,21.5,4.3
"krisandajt",2011-02-14 19:59:02,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,4.5,4.5,4,4,21,4.2
"ArrogantB",2011-02-14 21:32:03,"Troegs Brewing Company","Scratch Beer 33 - 2010 (Saison De Mueze)","Saison / Farmhouse Ale",6,3,4,4,3,3.5,17.5,3.5
"cetherid",2011-02-15 21:20:07,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,4.5,4,4,3.5,20,4
"brunrn1",2011-02-17 14:12:11,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4,3.5,3.5,3.5,18.5,3.7
"nickshep7",2011-02-17 18:59:52,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4.5,4.5,4,21.5,4.3
"SalukiAlum",2011-02-17 20:59:26,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4,4.5,4.5,4.5,22.5,4.5
"yourchoice",2011-02-18 22:05:47,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3.5,4,3,3,3.5,17,3.4
"MbpBugeye",2011-02-19 15:45:48,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4.5,5,4,4,4,21.5,4.3
"DaveAnderson",2011-02-19 22:30:29,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3.5,3.5,3,3.5,3.5,17,3.4
"beergod1",2011-02-20 09:10:00,"Voodoo Brewing Company","Voodoo Love Child","Belgian Strong Pale Ale",10.5,4,4,3,3,4,18,3.6
"psuKinger",2011-02-20 14:50:44,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4,3,3,2.5,16,3.2
"GeezLynn",2011-02-21 00:56:39,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,4,3.5,3.5,19.5,3.9
"modernartblues",2011-02-21 08:50:19,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,3.5,4,4,20.5,4.1
"Tartarus",2011-02-21 21:12:17,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,4,3.5,4,4,19,3.8
"elgiacomo",2011-02-22 20:32:11,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,3.5,3.5,4,4.5,19.5,3.9
"TheKingofWichita",2011-02-24 18:55:30,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,3.5,3.5,18.5,3.7
"scottfrie",2011-02-24 20:32:14,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4.5,4.5,21,4.2
"IronCitySteve",2011-02-25 07:06:30,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,4,4,4,4.5,20.5,4.1
"sjverla",2011-02-25 20:57:55,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,3,3,4,3,16.5,3.3
"Justin23060",2011-02-28 02:49:54,"Yuengling Brewery","Yuengling Bock","Bock",5.1,4,4,4,4,4,20,4
"CampbellKe11",2011-03-01 11:49:55,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,4,4,4.5,21,4.2
"JoeyBeerBelly",2011-03-01 20:14:11,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,4,4.5,4,4.5,21,4.2
"Chyren",2011-03-01 23:12:53,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4.5,4.5,4.5,22,4.4
"yesyouam",2011-03-02 10:44:58,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,2.5,1.5,1.5,1.5,1.5,8.5,1.7
"CuttDeez",2011-03-03 22:28:53,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,3.5,4,3.5,4,4,19,3.8
"Spider889",2011-03-04 04:34:20,"Victory Brewing Company","Saison Du BUFF","Saison / Farmhouse Ale",6.8,4,3,3,4,3.5,17.5,3.5
"jwhancher",2011-03-06 15:59:49,"Victory Brewing Company","Uncle Teddy's Bitter","English Bitter",4,4,5,3.5,3.5,5,21,4.2
"Wasatch",2011-03-08 20:20:40,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,4,3.5,4,4,19,3.8
"jman892",2011-03-09 20:03:40,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3,4,4,3.5,4,18.5,3.7
"vande",2011-03-11 23:19:51,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4.5,4.5,4.5,4.5,22,4.4
"gatornation",2011-03-12 15:20:21,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3.5,3.5,3,3,3.5,16.5,3.3
"turnstile",2011-03-13 23:16:21,"Voodoo Brewing Company","White Magic Of The Sun","Witbier",6.75,4.5,4,3,4,4.5,20,4
"Jesse13713",2011-03-15 00:31:14,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,2,3,3,2.5,4,14.5,2.9
"cyrock1",2011-03-15 02:10:58,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4,4,20.5,4.1
"CuriousMonk",2011-03-15 17:09:17,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,3.5,3.5,18.5,3.7
"janlud",2011-03-17 20:39:14,"Troegs Brewing Company","Scratch Beer 32 - 2010 (Keystone Common)","California Common / Steam Beer",5.4,3,4,3,3,3,16,3.2
"ratedz",2011-03-17 21:38:00,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,3.5,4,3.5,3.5,3.5,18,3.6
"HattedClassic",2011-03-18 14:00:51,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4,4.5,4,20.5,4.1
"onix1agr",2011-03-20 18:59:04,"Yuengling Brewery","Yuengling Light Lager","Light Lager",3.4,2.5,4,4,3.5,3.5,17.5,3.5
"RomaniIteDomum",2011-03-21 00:36:25,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,3.5,3.5,4,4,19,3.8
"welldigger888",2011-03-21 20:52:27,"Yuengling Brewery","Yuengling Bock","Bock",5.1,3.5,4,4,3.5,4,19,3.8
"srandycarter",2011-03-22 00:08:56,"Victory Brewing Company","Dark Intrigue","Russian Imperial Stout",9.1,4,4.5,3.5,3.5,3.5,19,3.8
"Stinkypuss",2011-03-22 12:36:15,"Victory Brewing Company","Tettnanger Pils","German Pilsener",5.3,4,4,4,4.5,4.5,21,4.2
"Brad007",2011-03-22 20:19:29,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3.5,4,3,3.5,3.5,17.5,3.5
"Snow81",2011-03-22 21:30:03,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,4,3,3.5,3,17.5,3.5
"jlindros",2011-03-22 22:23:42,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3.5,4.5,4,4,4,20,4
"Eleutheria",2011-03-23 20:06:13,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,5,4.5,4.5,4.5,23.5,4.7
"smakawhat",2011-03-23 20:30:45,"Voodoo Brewing Company","PILZILLA","Keller Bier / Zwickel Bier",6.7,4.5,4.5,4,4,4.5,21.5,4.3
"mikesgroove",2011-03-23 22:42:04,"Victory Brewing Company","Saison Du BUFF","Saison / Farmhouse Ale",6.8,4,4.5,4,4.5,4,21,4.2
"Mardukk",2011-03-24 20:30:56,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,5,4,3,4,4,20,4
"trappistlover",2011-03-25 22:50:03,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4,4,4.5,20.5,4.1
"JAXSON",2011-03-25 22:58:37,"Victory Brewing Company","Saison","Saison / Farmhouse Ale",7.6,3.5,4,4,3.5,3.5,18.5,3.7
"AdamBear",2011-03-26 10:49:16,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3,5,4,3.5,4,19.5,3.9
"celticfutblclub",2011-03-26 21:29:46,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,2.5,3,2.5,2.5,14.5,2.9
"ColForbinBC",2011-03-26 21:42:01,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,4.5,4,4.5,4,21,4.2
"LebronJeremy",2011-03-28 20:27:11,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4,4.5,5,4.5,22,4.4
"greenmonstah",2011-03-30 00:39:31,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,5,4,4,4,20.5,4.1
"superspak",2011-03-30 00:56:17,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,5,4.5,4,21.5,4.3
"pzrhsau",2011-03-30 19:15:59,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,4.5,3.5,4,3.5,19,3.8
"happy4hoppybeer",2011-04-03 14:11:52,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,5,4,4.5,4.5,5,23,4.6
"chcfan",2011-04-03 18:40:10,"Yuengling Brewery","Yuengling Bock","Bock",5.1,3.5,4,4,3.5,3.5,18.5,3.7
"BelgiumBill",2011-04-04 21:02:53,"Victory Brewing Company","Saison Du BUFF","Saison / Farmhouse Ale",6.8,3,4,3.5,3.5,3.5,17.5,3.5
"kingcrowing",2011-04-06 21:24:59,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3,3.5,4,3.5,4,18,3.6
"jmshulk",2011-04-07 20:41:25,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4,4.5,5,4.5,23,4.6
"mothman",2011-04-09 22:00:03,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,3,3.5,3,3,3,15.5,3.1
"BeerForMuscle",2011-04-10 18:02:08,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4,4,4,4,4,20,4
"Haybeerman",2011-04-11 16:15:00,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,3.5,4.5,4,4,4.5,20.5,4.1
"Haybeerman",2011-04-11 16:22:45,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,2.5,3.5,3.5,3.5,3,16,3.2
"perrymarcus",2011-04-12 01:23:42,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4,4,3.5,19,3.8
"gskitt",2011-04-12 19:34:49,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3,4,4,3.5,3.5,18,3.6
"DNICE555",2011-04-14 13:11:47,"Voodoo Brewing Company","Black Magick","American Double / Imperial Stout",15,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"Jimmys",2011-04-14 23:06:11,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4,4.5,4.5,21.5,4.3
"nickshep7",2011-04-17 19:58:45,"Victory Brewing Company","Headwaters Pale Ale","American Pale Ale (APA)",5.1,4,4,4,4,4,20,4
"Jimmys",2011-04-17 22:43:49,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,3.5,3,3.5,4,18,3.6
"Tucquan",2011-04-18 17:53:05,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,4,4.5,4.5,20.5,4.1
"xnicknj",2011-04-19 19:54:54,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,3.5,4,4,4,19.5,3.9
"xnicknj",2011-04-19 20:14:30,"Victory Brewing Company","Hersbrucker Pils","German Pilsener",5.3,4,4,4,4.5,4,20.5,4.1
"doopiedoopiedoo",2011-04-20 07:37:40,"Victory Brewing Company","Dark Intrigue","Russian Imperial Stout",9.1,2.5,3,1,4.5,2,13,2.6
"smh804",2011-04-21 20:05:54,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4.5,4,20.5,4.1
"Arknot",2011-04-21 23:43:47,"Yuengling Brewery","Yuengling Bock","Bock",5.1,2,2.5,2,2,2,10.5,2.1
"ChugginOil",2011-04-22 00:47:15,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,4,4,4,20.5,4.1
"OakedCanuck",2011-04-22 10:54:23,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3,3.5,3.5,17.5,3.5
"mdr4669",2011-04-22 23:58:22,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,3.5,4.5,4.5,4,4.5,21,4.2
"Chaney",2011-04-24 16:19:28,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,3.5,4,3.5,18.5,3.7
"GreenJetta912",2011-04-24 23:08:09,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4.5,5,4.5,22.5,4.5
"mdaschaf",2011-04-25 21:46:54,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,3.5,3,3.5,3.5,17,3.4
"n2185",2011-04-26 08:11:53,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3.5,2.5,3,16.5,3.3
"DrDemento456",2011-04-26 15:35:43,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4.5,4.5,4.5,22.5,4.5
